Modality,Gender,Race_ETH,Tobacco_Ever,Afib,PVD,Statins,anyPhysicalActivity,weight
,,,,,,,,
CT,F,Multiple/Other/Unknown,0,0,1,0,0,1.9039338446453448e-05
,,,,,,,,
,,,,,,,,
CT,F,Multiple/Other/Unknown,0,0,1,0,1,3.173223074408908e-05
,,,,,,,,
,,,,,,,,
CT,F,Multiple/Other/Unknown,0,0,1,1,0,4.12518999673158e-05
,,,,,,,,
,,,,,,,,
CT,F,Multiple/Other/Unknown,0,0,1,1,1,5.0771569190542523e-05
,,,,,,,,
,,,,,,,,
CT,F,Multiple/Other/Unknown,0,1,0,0,0,5.711801533936034e-05
,,,,,,,,
,,,,,,,,
CT,F,Multiple/Other/Unknown,0,1,0,0,1,4.442512304172471e-05
,,,,,,,,
,,,,,,,,
CT,F,Multiple/Other/Unknown,0,1,0,1,0,8.567702300904051e-05
,,,,,,,,
,,,,,,,,
CT,F,Multiple/Other/Unknown,0,1,0,1,1,0.000117409
,,,,,,,,
,,,,,,,,
CT,F,Multiple/Other/Unknown,0,1,1,0,0,1.2692892297635631e-05
,,,,,,,,
,,,,,,,,
CT,F,Multiple/Other/Unknown,0,1,1,1,0,3.1732230744089077e-06
,,,,,,,,
,,,,,,,,
CT,F,Multiple/Other/Unknown,0,1,1,1,1,6.3464461488178154e-06
,,,,,,,,
,,,,,,,,
CT,F,Multiple/Other/Unknown,1,0,0,0,0,0.000590219
,,,,,,,,
,,,,,,,,
CT,F,Multiple/Other/Unknown,1,0,0,0,1,0.001796044
,,,,,,,,
,,,,,,,,
CT,F,Multiple/Other/Unknown,1,0,0,1,0,0.000555314
,,,,,,,,
,,,,,,,,
CT,F,Multiple/Other/Unknown,1,0,0,1,1,0.001186785
,,,,,,,,
,,,,,,,,
CT,F,Multiple/Other/Unknown,1,0,1,0,0,3.173223074408908e-05
,,,,,,,,
,,,,,,,,
CT,F,Multiple/Other/Unknown,1,0,1,0,1,1.2692892297635631e-05
,,,,,,,,
,,,,,,,,
CT,F,Multiple/Other/Unknown,1,0,1,1,0,9.202346915785832e-05
,,,,,,,,
,,,,,,,,
CT,F,Multiple/Other/Unknown,1,0,1,1,1,7.615735378581379e-05
,,,,,,,,
,,,,,,,,
CT,F,Multiple/Other/Unknown,1,1,0,0,0,5.3944792264951435e-05
,,,,,,,,
,,,,,,,,
CT,F,Multiple/Other/Unknown,1,1,0,0,1,2.855900766968017e-05
,,,,,,,,
,,,,,,,,
CT,F,Multiple/Other/Unknown,1,1,0,1,0,4.759834611613362e-05
,,,,,,,,
,,,,,,,,
CT,F,Multiple/Other/Unknown,1,1,0,1,1,6.029123841376925e-05
,,,,,,,,
,,,,,,,,
CT,F,Multiple/Other/Unknown,1,1,1,0,0,3.1732230744089077e-06
,,,,,,,,
,,,,,,,,
CT,F,Multiple/Other/Unknown,1,1,1,0,1,6.3464461488178154e-06
,,,,,,,,
,,,,,,,,
CT,F,Multiple/Other/Unknown,1,1,1,1,0,1.2692892297635631e-05
,,,,,,,,
,,,,,,,,
CT,M,Asian and Pacific Islander,0,0,0,0,0,1.9039338446453448e-05
,,,,,,,,
,,,,,,,,
CT,M,Asian and Pacific Islander,0,0,0,0,1,0.006549532
,,,,,,,,
,,,,,,,,
CT,M,Asian and Pacific Islander,0,0,0,1,0,6.663768456258707e-05
,,,,,,,,
,,,,,,,,
CT,M,Asian and Pacific Islander,0,0,0,1,1,0.00682243
,,,,,,,,
,,,,,,,,
CT,M,Asian and Pacific Islander,0,0,1,0,0,1.2692892297635631e-05
,,,,,,,,
,,,,,,,,
CT,M,Asian and Pacific Islander,0,0,1,0,1,6.663768456258707e-05
,,,,,,,,
,,,,,,,,
CT,M,Asian and Pacific Islander,0,0,1,1,0,2.5385784595271262e-05
,,,,,,,,
,,,,,,,,
CT,M,Asian and Pacific Islander,0,0,1,1,1,0.000180874
,,,,,,,,
,,,,,,,,
CT,M,Asian and Pacific Islander,0,1,0,0,1,0.000234819
,,,,,,,,
,,,,,,,,
CT,M,Asian and Pacific Islander,0,1,0,1,0,5.0771569190542523e-05
,,,,,,,,
,,,,,,,,
CT,M,Asian and Pacific Islander,0,1,0,1,1,0.000504542
,,,,,,,,
,,,,,,,,
CT,M,Asian and Pacific Islander,0,1,1,0,0,3.1732230744089077e-06
,,,,,,,,
,,,,,,,,
CT,M,Asian and Pacific Islander,0,1,1,0,1,6.3464461488178154e-06
,,,,,,,,
,,,,,,,,
CT,M,Asian and Pacific Islander,0,1,1,1,0,1.2692892297635631e-05
,,,,,,,,
,,,,,,,,
CT,M,Asian and Pacific Islander,0,1,1,1,1,1.586611537204454e-05
,,,,,,,,
,,,,,,,,
CT,M,Asian and Pacific Islander,1,0,0,0,0,0.000133275
,,,,,,,,
,,,,,,,,
CT,M,Asian and Pacific Islander,1,0,0,0,1,0.005502369
,,,,,,,,
,,,,,,,,
CT,M,Asian and Pacific Islander,1,0,0,1,0,0.000364921
,,,,,,,,
,,,,,,,,
CT,M,Asian and Pacific Islander,1,0,0,1,1,0.007898152
,,,,,,,,
,,,,,,,,
